2011-05-05,1
2013-05-26,3
2014-04-14,3
2011-10-04,3
2011-06-11,1
2014-09-26,2
2010-11-07,4
2013-06-18,2
2015-05-24,2
2013-05-30,2
2010-10-05,10
2013-03-26,1
2015-01-03,1
2015-02-16,1
2015-07-19,1
2015-08-04,2
2012-06-12,1
2012-11-30,1
2011-04-11,5
2013-11-04,7
2011-08-14,1
2013-05-01,1
2014-04-05,8
2013-09-14,37
2011-06-20,14
2014-09-19,19
2013-12-02,5
2013-06-11,1
2015-05-03,7
2011-07-20,7
2011-10-06,4
2010-10-12,5
2013-03-29,12
2011-02-22,25
2015-02-25,2
2014-02-09,10
2010-12-24,5
2012-06-20,2
2011-05-27,20
2012-03-05,3
2012-06-11,1
2011-02-15,22
2013-01-01,4
2013-05-03,1
2015-09-26,3
2013-02-11,1
2015-07-05,1
2012-01-25,1
2011-06-29,6
2014-09-20,7
2015-05-10,1
2014-03-08,3
2011-07-19,4
2012-03-29,4
2015-08-18,1
2014-12-22,6
2014-01-04,3
2013-11-12,3
2012-11-08,2
2013-01-24,2
2014-05-21,2
2011-04-02,7
2011-08-28,3
2012-04-06,1
2012-12-11,4
2011-03-04,1
2014-03-17,14
2011-07-26,13
2011-03-16,1
2012-03-22,6
2015-02-11,1
2014-02-27,26
2012-02-18,2
2011-01-26,1
2015-07-10,4
2011-04-30,1
2012-01-19,7
2010-11-20,6
2012-08-16,7
2011-05-26,10
2014-04-18,3
2014-10-17,3
2013-08-27,6
2012-12-14,1
2011-07-11,3
2014-03-30,1
2011-10-07,2
2013-12-27,1
2014-02-18,11
2015-07-08,2
2012-09-20,20
2011-01-29,14
2015-07-01,1
2013-01-22,12
2015-04-11,1
2011-05-21,10
2015-03-17,2
2013-08-28,4
2014-12-01,3
2013-05-23,9
2013-03-14,1
2011-12-29,1
2011-06-06,3
2013-12-20,2
2015-06-11,2
2014-02-21,16
2013-07-27,2
2012-09-29,1
2015-01-12,2
2013-12-16,1
2014-01-31,3
2010-12-06,9
2013-07-14,3
2012-02-03,1
2011-11-03,19
2012-08-02,60
2012-11-17,2
2015-03-24,3
2014-05-14,1
2013-08-05,1
2011-08-05,9
2015-09-12,3
2012-05-26,2
2013-07-20,5
2015-09-23,1
2011-06-15,6
2012-03-19,1
2013-12-13,2
2013-06-30,13
2011-07-01,25
2012-09-26,9
2014-07-31,1
2012-04-29,1
2013-05-09,6
2014-11-16,4
2013-10-25,2
2012-02-09,9
2014-06-29,1
2014-11-23,1
2012-08-05,2
2012-11-26,4
2014-05-07,11
2012-01-29,2
2011-08-02,15
2013-05-05,7
2015-10-04,1
2014-04-09,2
2011-06-08,7
2012-08-08,4
2015-06-05,3
2011-04-08,1
2012-02-24,1
2015-05-31,8
2014-03-07,9
2011-07-08,52
2013-06-23,2
2012-09-03,6
2013-03-25,1
2011-05-18,3
2010-12-20,4
2011-08-20,1
2014-11-12,1
2011-01-04,10
2012-06-15,1
2013-07-10,5
2015-03-14,3
2012-01-22,4
2012-01-21,2
2011-05-12,5
2014-10-03,3
2011-06-17,32
2011-05-11,3
2013-06-12,1
2014-03-12,13
2011-09-20,1
2011-07-23,2
2012-09-08,6
2012-03-25,4
2010-11-28,1
2015-02-06,1
2014-02-12,8
2013-04-04,3
2013-05-16,4
2013-04-24,7
2014-12-10,6
2013-11-13,2
2011-04-05,21
2014-05-25,9
2015-09-25,21
2011-05-07,1
2011-06-26,3
2014-09-09,4
2013-06-05,3
2011-12-15,5
2011-07-30,4
2011-10-12,1
2012-03-18,1
2015-02-15,2
2014-02-07,14
2013-04-02,5
2010-11-02,5
2013-04-01,2
2014-05-10,2
2014-12-17,3
2014-01-09,1
2011-02-05,12
2011-04-26,10
2014-05-18,5
2011-05-01,4
2011-08-25,1
2012-12-22,1
2013-08-23,2
2014-09-02,10
2013-07-25,2
2012-01-03,2
2012-10-16,2
2012-04-01,1
2013-04-10,1
2015-01-25,2
2014-12-24,6
2014-01-18,2
2011-01-25,7
2012-07-18,3
2013-01-18,6
2012-06-22,1
2011-05-25,11
2014-03-27,2
2011-10-30,1
2013-12-24,2
2012-04-15,3
2014-02-17,14
2011-09-15,1
2013-05-17,4
2015-01-16,8
2011-05-23,5
2014-01-27,6
2013-07-18,4
2014-06-22,2
2012-08-14,26
2012-05-19,1
2012-12-24,1
2014-12-21,2
2013-05-12,2
2013-05-18,4
2013-04-12,7
2011-12-30,14
2011-06-03,4
2013-12-17,4
2013-06-26,5
2011-07-05,9
2013-03-18,4
2010-12-09,6
2012-12-30,1
2010-12-27,8
2012-03-03,2
2012-08-01,2
2015-04-29,3
2014-09-16,2
2011-08-06,1
2013-05-25,19
2015-10-08,2
2011-06-12,9
2014-09-27,5
2012-10-05,7
2013-06-19,1
2013-11-25,1
2012-05-16,2
2011-09-25,1
2011-07-12,7
2010-10-04,10
2012-03-12,1
2012-04-24,1
2010-12-16,5
2013-07-04,2
2013-10-26,1
2012-02-12,17
2014-12-07,9
2011-11-13,1
2010-11-08,5
2015-04-26,11
2013-01-09,4
2013-04-18,1
2015-09-18,3
2014-04-04,3
2013-09-13,1
2011-06-21,2
2014-09-28,5
2013-12-03,1
2013-06-08,4
2013-05-31,8
2014-08-28,4
2010-10-15,5
2013-03-28,4
2014-07-09,1
2014-02-08,16
2010-12-23,5
2013-04-28,10
2014-06-03,8
2014-12-14,8
2011-01-11,1
2015-04-19,4
2011-02-08,1
2011-04-01,3
2013-06-06,10
2013-05-02,8
2013-05-15,9
2012-12-03,20
2014-04-03,7
2014-10-06,1
2013-06-01,1
2015-06-19,1
2014-03-09,3
2011-10-08,1
2012-03-30,6
2012-02-20,2
2012-04-10,3
2015-04-12,1
2013-10-08,1
2012-02-26,7
2012-02-07,13
2013-02-27,4
2014-01-05,1
2012-11-09,17
2011-04-06,8
2014-05-22,1
2011-08-29,3
2012-08-24,3
2011-05-02,4
2012-07-25,20
2012-01-24,1
2014-09-14,2
2015-06-20,1
2011-07-25,5
2012-03-23,2
2015-02-12,5
2014-02-26,6
2012-01-30,1
2012-05-20,1
2012-04-05,1
2012-02-17,8
2015-01-29,1
2014-01-14,2
2011-01-21,5
2015-07-09,5
2013-01-30,1
2011-05-29,1
2014-04-17,4
2014-10-16,1
2014-09-07,29
2014-03-31,1
2011-12-21,1
2014-08-01,2
2013-04-14,1
2013-12-01,7
2015-01-20,3
2014-12-27,1
2014-01-23,2
2013-07-22,5
2013-01-21,2
2013-05-11,7
